Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Ryan Cheek,22,0,0,,0,4,0,,0,0,0,3.1,3,0,0,0,2,0,3,0,0,0,15,1.5,8.1,0,5.4,8.1,1.5,
2,Austin Conway,21,0,0,,4.6,6,4,,0,0,0,15.2,11,8,8,2,16,0,19,0,0,1,73,1.723,6.3,1.1,9.2,10.9,1.19,
3,Evan Giles,20,0,0,,9.82,6,1,,0,0,0,7.1,7,8,8,3,9,0,6,1,0,1,40,2.182,8.6,3.7,11,7.4,0.67,
4,Justin Hill*,21,5,2,0.714,4.27,13,10,,0,0,0,52.2,43,25,25,2,38,0,48,6,0,1,239,1.538,7.3,0.3,6.5,8.2,1.26,
5,Ryan Keaffaber*,21,6,4,0.6,3.48,15,14,,4,2,0,95.2,98,41,37,7,15,0,46,4,0,3,393,1.181,9.2,0.7,1.4,4.3,3.07,
6,Greg Kuhlman*,23,1,0,1,5.27,12,0,,0,0,0,13.2,13,8,8,1,14,0,13,0,0,1,65,1.976,8.6,0.7,9.2,8.6,0.93,
7,Ethan Larrison,20,2,1,0.667,3.97,23,0,,0,0,1,45.1,34,24,20,2,21,3,29,3,1,1,190,1.213,6.8,0.4,4.2,5.8,1.38,
8,Brad Lombard,23,0,0,,6.35,3,1,,0,0,0,5.2,3,4,4,0,4,0,1,1,0,0,22,1.235,4.8,0,6.4,1.6,0.25,
9,Trent Lunsford*,21,0,0,,4.97,9,1,,0,0,0,12.2,17,7,7,0,13,0,11,0,0,2,66,2.368,12.1,0,9.2,7.8,0.85,
10,Jeremy McKinney,21,6,4,0.6,3.26,25,0,,0,0,7,49.2,45,20,18,5,10,2,46,3,0,4,199,1.107,8.2,0.9,1.8,8.3,4.6,
11,Damon Olds,21,0,2,0,3.94,22,0,,0,0,3,29.2,29,19,13,2,16,0,30,1,1,2,135,1.517,8.8,0.6,4.9,9.1,1.88,
12,Daniel Peterson?,--,4,1,0.8,1.93,6,4,,0,0,0,32.2,21,8,7,2,10,0,35,0,0,0,126,0.949,5.8,0.6,2.8,9.6,3.5,
13,Triston Polley*,19,0,0,,8.64,12,0,,0,0,1,8.1,8,9,8,1,8,0,12,2,0,1,42,1.92,8.6,1.1,8.6,13,1.5,
14,Weston Rivers*,21,3,1,0.75,4.17,13,9,,0,0,0,41,39,20,19,3,20,1,21,2,2,1,176,1.439,8.6,0.7,4.4,4.6,1.05,
15,Dane Tofteland,19,0,0,,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
16,Tyler Ward,19,6,5,0.545,3.81,18,12,,0,0,1,80.1,86,38,34,9,13,1,40,5,0,1,341,1.232,9.6,1,1.5,4.5,3.08,
17,Tyler Whitbread,19,2,1,0.667,7.56,9,0,,0,0,0,8.1,10,8,7,1,6,0,3,0,0,0,41,1.92,10.8,1.1,6.5,3.2,0.5,
,17 Players,20.6,,,,4,0,0,0,0,5,0,502,467,247,223,40,215,7,363,28,4,19,2163,1.359,8.4,0.7,3.9,6.5,1.69,
