Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Taylore Cherry,20,1,0,1,8.1,8,1,,,0,0,10,16,10,9,0,5,0,4,3,0,2,55,2.1,14.4,0,4.5,3.6,0.8,
2,Kent Emanuel*,21,11,5,0.688,3.14,21,18,,,3,1,131.2,121,52,46,7,32,0,98,4,0,3,543,1.162,8.3,0.5,2.2,6.7,3.06,
3,Peter Hendel*,20,0,0,,27,4,0,,,0,0,0.2,3,2,2,0,1,0,1,0,0,0,6,6,40.5,0,13.5,13.5,1,
4,Reilly Hovis,19,4,0,1,2.36,18,4,,,0,0,34.1,20,10,9,1,24,4,26,1,0,2,150,1.282,5.2,0.3,6.3,6.8,1.08,
5,Hobbs Johnson*,22,5,1,0.833,2.37,18,17,,,0,0,87.1,62,25,23,0,51,0,78,5,0,4,377,1.294,6.4,0,5.3,8,1.53,
6,Trevor Kelley,20,2,1,0.667,3.63,32,0,,,0,2,44.2,33,20,18,1,19,0,36,6,0,6,188,1.164,6.6,0.2,3.8,7.3,1.89,
7,Chris McCue,20,7,1,0.875,2.13,32,0,,,0,2,63.1,43,19,15,2,28,2,54,4,1,11,265,1.121,6.1,0.3,4,7.7,1.93,
8,Mason McCullough,20,0,1,0,0.73,17,0,,,0,0,12.1,4,1,1,0,7,0,14,3,0,2,49,0.892,2.9,0,5.1,10.2,2,
9,Benton Moss,20,8,1,0.889,3.77,19,16,,,0,0,88.1,79,41,37,7,34,0,92,10,1,6,384,1.279,8,0.7,3.5,9.4,2.71,
10,Chris Munnelly,22,6,0,1,2.39,22,8,,,0,1,60.1,36,16,16,3,27,1,63,9,0,4,252,1.044,5.4,0.4,4,9.4,2.33,
11,Chris O'Brien?,--,0,1,0,10.8,4,0,,,0,0,1.2,5,4,2,0,2,0,0,0,0,0,12,4.2,27,0,10.8,0,0,
12,Tate Parrish*,21,1,0,1,1.35,20,0,,,0,2,6.2,4,1,1,0,4,0,10,2,0,0,33,1.2,5.4,0,5.4,13.5,2.5,
13,Luis Paula,20,0,0,,8.59,9,0,,,0,1,7.1,5,7,7,0,10,0,6,1,0,1,37,2.045,6.1,0,12.3,7.4,0.6,
14,Andrew Smith,21,0,0,,0,1,0,,,0,0,1,0,0,0,0,1,0,2,0,0,0,4,1,0,0,9,18,2,
15,Shane Taylor,20,2,0,1,3,11,1,,,0,0,12,14,4,4,0,10,1,7,1,0,3,57,2,10.5,0,7.5,5.3,0.7,
16,Trent Thornton,19,12,1,0.923,1.37,29,6,,,0,8,91.2,69,22,14,3,19,2,81,5,0,4,369,0.96,6.8,0.3,1.9,8,4.26,
,16 Players,20.4,,,,2.81,0,0,0,0,11,0,653.1,514,234,204,24,274,10,572,54,2,48,2781,1.206,7.1,0.3,3.8,7.9,2.09,
