Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Bryce Barnett,19,1,1,0.5,5.4,8,0,,0,,0,8.1,8,6,5,3,5,1,17,0,0,3,38,1.56,8.6,3.2,5.4,18.4,3.4,
2,Cooper Benson*,19,1,1,0.5,3.6,4,4,,0,,0,20,21,9,8,2,8,0,25,1,0,2,87,1.45,9.5,0.9,3.6,11.3,3.13,
3,Christian Bodlovich,19,1,0,1,5.4,6,0,,0,,0,5,5,3,3,0,1,0,7,0,0,0,21,1.2,9,0,1.8,12.6,7,
4,Blake Burzell,20,0,0,,18,1,0,,0,,0,1,3,2,2,0,0,0,0,0,0,1,6,3,27,0,0,0,,
5,Brady Corrigan,21,0,0,,54,1,0,,0,,0,0.1,2,2,2,0,1,0,1,1,0,2,5,9,54,0,27,27,1,
6,R.J. Dabovich,21,0,0,,0.77,9,0,,0,,4,11.2,3,2,1,0,9,1,17,1,1,3,48,1.029,2.3,0,6.9,13.1,1.89,
7,Cam Dennie,19,2,0,1,3.18,8,0,,0,,0,11.1,9,4,4,1,2,0,12,0,0,0,45,0.971,7.1,0.8,1.6,9.5,6,
8,Justin Fall*,21,1,0,1,5.68,4,4,,0,,0,19,16,14,12,1,13,0,17,2,1,3,87,1.526,7.6,0.5,6.2,8.1,1.31,
9,Luke La Flam,20,0,0,,0,1,0,,0,,0,0.2,0,0,0,0,2,0,0,0,0,1,4,3,0,0,27,0,0,
10,Will Levine,20,1,0,1,5.4,3,0,,0,,0,3.1,3,2,2,0,3,1,1,0,0,1,15,1.8,8.1,0,8.1,2.7,0.33,
11,Graham Osman*,19,1,0,1,22.5,6,0,,0,,0,2,6,5,5,1,2,1,3,0,0,0,14,4,27,4.5,9,13.5,1.5,
12,Tyler Thornton,19,2,0,1,3.38,4,4,,0,,0,24,20,10,9,3,7,1,25,2,0,1,98,1.125,7.5,1.1,2.6,9.4,3.57,
13,Erik Tolman*,21,1,1,0.5,2.5,4,3,,0,,0,18,9,5,5,1,12,0,30,0,0,3,77,1.167,4.5,0.5,6,15,2.5,
14,Seth Tomczak,19,0,0,,2.45,4,0,,0,,0,3.2,3,1,1,0,0,0,3,0,0,0,14,0.818,7.4,0,0,7.4,,
15,Boyd Vander Kooi,21,2,1,0.667,0.7,5,2,,0,,0,25.2,19,5,2,0,2,0,20,0,0,0,94,0.818,6.7,0,0.7,7,10,
,15 Players,19.9,13,4,0.765,3.56,17,17,17,0,0,0,154,127,70,61,12,67,5,178,7,2,20,653,1.26,7.4,0.7,3.9,10.4,2.66,
