Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Jordan Aboites,21,7,2,0.778,3.69,13,9,,1,0,0,61,67,28,25,2,21,1,40,2,0,3,261,1.443,9.9,0.3,3.1,5.9,1.9,
2,Garvin Alston*,19,0,0,,11.12,6,0,,0,0,0,5.2,4,7,7,0,8,0,6,0,0,2,27,2.118,6.4,0,12.7,9.5,0.75,
3,Tucker Baca*,20,1,0,1,3.24,14,0,,0,0,0,8.1,4,4,3,0,5,1,8,8,0,1,42,1.08,4.3,0,5.4,8.6,1.6,
4,Hever Bueno,21,1,0,1,2.84,2,2,,0,0,0,6.1,3,2,2,0,5,0,9,1,1,0,28,1.263,4.3,0,7.1,12.8,1.8,
5,Zach Dixon*,--,2,1,0.667,3.34,9,6,,1,1,0,29.2,22,14,11,2,18,1,21,2,0,2,126,1.348,6.7,0.6,5.5,6.4,1.17,
6,Eder Erives,21,6,2,0.75,2.95,23,3,,0,0,10,76.1,50,28,25,2,36,3,73,11,0,15,322,1.127,5.9,0.2,4.2,8.6,2.03,
7,David Greer,20,1,1,0.5,7.71,3,0,,0,0,0,2.1,3,3,2,0,1,0,2,0,0,0,10,1.714,11.6,0,3.9,7.7,2,
8,Connor Higgins*,19,0,0,,4.97,13,0,,0,0,0,12.2,20,7,7,0,4,0,10,2,0,0,64,1.895,14.2,0,2.8,7.1,2.5,
9,Ryan Hingst,20,2,1,0.667,3.06,15,2,,1,1,2,32.1,23,12,11,0,16,0,31,2,0,2,134,1.206,6.4,0,4.5,8.6,1.94,
10,Chris Isbell,19,2,2,0.5,2.84,15,1,,0,0,0,19,23,11,6,1,8,0,10,0,0,0,87,1.632,10.9,0.5,3.8,4.7,1.25,
11,Liam Jenkins,19,0,0,,inf,1,0,,0,0,0,0,0,1,1,0,1,0,0,1,0,0,2,,,,,,0,
12,Eli Lingos*,20,3,5,0.375,4.5,20,12,,0,0,1,64,74,37,32,5,26,0,50,4,2,3,287,1.563,10.4,0.7,3.7,7,1.92,
13,Gio Lopez,19,0,0,,36,2,0,,0,0,0,1,1,4,4,0,4,0,0,1,0,0,9,5,9,0,36,0,0,
14,Seth Martinez,21,9,4,0.692,2.75,18,16,,2,0,1,111.1,95,43,34,5,35,1,94,9,1,3,473,1.168,7.7,0.4,2.8,7.6,2.69,
15,Eric Melbostad,22,0,0,,4.85,17,0,,0,0,0,13,18,12,7,0,9,0,11,4,1,1,71,2.077,12.5,0,6.2,7.6,1.22,
16,James Ryan,19,0,0,,5.28,19,1,,0,0,1,29,41,19,17,4,7,0,19,2,1,1,134,1.655,12.7,1.2,2.2,5.9,2.71,
17,Grant Schneider,20,0,0,,8.38,9,0,,0,0,1,9.2,12,11,9,0,11,1,7,1,0,1,53,2.379,11.2,0,10.2,6.5,0.64,
18,Fitz Stadler,19,0,1,0,9.35,12,1,,0,0,0,17.1,30,22,18,1,15,0,10,1,1,4,95,2.596,15.6,0.5,7.8,5.2,0.67,
19,Reagan Todd*,20,1,4,0.2,6.64,15,6,,0,0,0,42,53,36,31,1,20,0,37,7,0,1,202,1.738,11.4,0.2,4.3,7.9,1.85,
,19 Players,20.2,,,,4.19,0,0,0,0,3,0,541,543,301,252,23,250,8,438,58,7,39,2427,1.466,9,0.4,4.2,7.3,1.75,
