Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Luke Barrow,20,0,1,0,8.1,13,0,,0,0,0,10,8,9,9,1,11,1,8,4,0,5,52,1.9,7.2,0.9,9.9,7.2,0.73,
2,Jack Billings,22,1,3,0.25,11.66,14,3,,0,0,2,14.2,26,23,19,1,13,1,16,2,0,3,83,2.659,16,0.6,8,9.8,1.23,
3,Jonathan Blackwell*,21,0,0,,5.4,13,1,,0,0,0,16.2,18,14,10,1,11,0,15,3,2,2,81,1.74,9.7,0.5,5.9,8.1,1.36,
4,Elliot Carney,24,2,1,0.667,5.83,18,5,,0,0,4,46.1,38,32,30,8,28,0,64,5,1,6,206,1.424,7.4,1.6,5.4,12.4,2.29,
5,Riley Eikhoff,20,4,0,1,7.12,20,3,,0,0,1,30.1,40,26,24,7,8,0,22,3,1,3,139,1.582,11.9,2.1,2.4,6.5,2.75,
6,Keaton Hopwood,20,0,0,,13.5,3,0,,0,0,0,1.1,1,2,2,0,3,0,1,1,0,1,8,3,6.8,0,20.3,6.8,0.33,
7,Darin Horn,19,0,1,0,10,10,0,,0,0,0,9,13,11,10,0,10,0,6,3,0,4,54,2.556,13,0,10,6,0.6,
8,Matt Joyce,21,4,1,0.8,4.5,19,0,,0,0,0,24,16,12,12,3,8,0,14,1,0,1,91,1,6,1.1,3,5.3,1.75,
9,John Kelly,22,0,1,0,5.79,7,0,,0,0,0,4.2,3,5,3,0,7,0,5,4,0,2,28,2.143,5.8,0,13.5,9.6,0.71,
10,Michael Knorr,22,5,0,1,3.39,13,13,,0,0,0,69,60,31,26,11,13,0,86,8,0,4,286,1.058,7.8,1.4,1.7,11.2,6.62,
11,Connor Kurki,20,0,0,,7.27,7,0,,0,0,0,8.2,11,7,7,0,2,0,9,4,0,3,40,1.5,11.4,0,2.1,9.3,4.5,
12,Reece Maniscalco,24,3,2,0.6,5.16,16,2,,0,0,2,29.2,28,20,17,3,10,1,41,5,0,2,132,1.281,8.5,0.9,3,12.4,4.1,
13,Jacob Maton,22,1,1,0.5,3.41,25,0,,0,0,3,29,31,13,11,2,13,0,30,5,0,3,130,1.517,9.6,0.6,4,9.3,2.31,
14,Nick Parker,22,6,3,0.667,4.45,15,15,,1,0,0,85,83,48,42,14,23,0,81,17,2,4,369,1.247,8.8,1.5,2.4,8.6,3.52,
15,Matt Potok,19,4,0,1,3.71,17,1,,0,0,0,26.2,29,13,11,1,7,1,19,1,0,0,114,1.35,9.8,0.3,2.4,6.4,2.71,
16,Teddy Sharkey,20,0,2,0,6.19,17,1,,0,0,2,16,18,15,11,2,10,1,12,1,0,1,76,1.75,10.1,1.1,5.6,6.8,1.2,
17,Will Smith,21,0,0,,0,2,0,,0,0,0,1.2,1,0,0,0,2,0,3,0,0,0,8,1.8,5.4,0,10.8,16.2,1.5,
18,Reid VanScoter*,23,9,4,0.692,3.65,16,16,,0,0,0,88.2,84,48,36,2,24,0,85,10,0,11,384,1.218,8.5,0.2,2.4,8.6,3.54,
19,Colin Yablonski?,--,0,0,,8.1,9,0,,0,0,1,6.2,9,10,6,5,3,0,7,3,0,1,39,1.8,12.2,6.8,4.1,9.5,2.33,
,19 Players,21.6,39,20,0.661,4.97,60,60,59,1,1,15,518,517,339,286,61,206,5,524,80,6,56,2320,1.396,9,1.1,3.6,9.1,2.54,
