Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Chase Adkins,22,6,7,0.462,3.95,15,14,,1,1,0,79.2,71,36,35,7,28,0,60,10,1,6,341,1.243,8,0.8,3.2,6.8,2.14,
2,Ryan Avidano*,21,2,2,0.5,7.77,18,1,,0,0,0,24.1,28,25,21,3,19,0,29,1,0,4,123,1.932,10.4,1.1,7,10.7,1.53,
3,Tucker Bradley*,19,0,0,,3.52,7,0,,0,0,1,7.2,6,4,3,0,8,1,11,4,0,0,40,1.826,7,0,9.4,12.9,1.38,
4,Blakely Brown,20,0,2,0,6.92,16,2,,0,0,0,26,26,24,20,2,10,2,29,4,0,11,119,1.385,9,0.7,3.5,10,2.9,
5,Blake Cairnes,21,1,1,0.5,5.06,17,0,,0,0,5,21.1,22,12,12,3,8,1,30,0,0,3,94,1.406,9.3,1.3,3.4,12.7,3.75,
6,Tim Elliott,19,1,0,1,5.93,15,0,,0,0,0,13.2,10,9,9,1,13,0,10,1,0,3,65,1.683,6.6,0.7,8.6,6.6,0.77,
7,Andrew Gist*,22,3,4,0.429,3.8,17,11,,0,0,1,73.1,70,34,31,5,19,1,79,3,0,4,308,1.214,8.6,0.6,2.3,9.7,4.16,
8,Justin Glover*,18,1,2,0.333,3.94,13,2,,0,0,1,16,12,9,7,1,10,0,14,0,0,1,72,1.375,6.8,0.6,5.6,7.9,1.4,
9,Adam Goodman*,20,0,0,,3.18,8,0,,0,0,1,5.2,5,3,2,0,5,0,6,2,0,1,29,1.765,7.9,0,7.9,9.5,1.2,
10,Zac Kristofak,19,3,1,0.75,5.24,26,3,,0,0,2,44.2,46,27,26,4,19,4,38,3,1,6,202,1.455,9.3,0.8,3.8,7.7,2,
11,Tony Locey,18,2,4,0.333,6.38,16,8,,0,0,0,42.1,41,31,30,4,31,0,37,8,2,10,202,1.701,8.7,0.9,6.6,7.9,1.19,
12,Drew Moody,22,0,0,,4.83,18,2,,0,0,2,31.2,39,20,17,3,6,0,16,4,0,2,144,1.421,11.1,0.9,1.7,4.5,2.67,
13,Christian Ryder,19,0,2,0,6.86,12,2,,0,0,1,19.2,23,21,15,5,7,0,15,4,0,3,95,1.525,10.5,2.3,3.2,6.9,2.14,
14,Aaron Schunk,19,0,0,,,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,
15,Shaefer Shepard,23,0,2,0,5.3,12,0,,0,0,0,18.2,19,12,11,1,11,0,19,3,0,4,90,1.607,9.2,0.5,5.3,9.2,1.73,
16,Kevin Smith*,20,5,5,0.5,4.87,20,12,,0,0,2,61,67,37,33,4,31,2,67,2,0,7,274,1.607,9.9,0.6,4.6,9.9,2.16,
17,Trevor Tinder,22,0,0,,2.45,5,0,,0,0,0,3.2,6,1,1,0,2,0,2,1,0,0,19,2.182,14.7,0,4.9,4.9,1,
18,Shane Tucker?,--,1,0,1,4.76,10,0,,0,0,0,11.1,9,6,6,2,7,0,13,3,0,3,53,1.412,7.1,1.6,5.6,10.3,1.86,
19,James Williams,19,0,0,,10.8,2,0,,0,0,0,1.2,3,2,2,0,3,0,2,0,0,1,11,3.6,16.2,0,16.2,10.8,0.67,
,19 Players,20.3,,,,5.03,0,0,0,0,5,0,502.1,504,313,281,45,237,11,477,53,4,69,2282,1.475,9,0.8,4.2,8.5,2.01,
