Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Ryan Avidano*,19,3,2,0.6,8.62,12,5,,,0,0,31.1,42,33,30,5,16,0,19,2,0,6,154,1.851,12.1,1.4,4.6,5.5,1.19,
2,Jared Cheek,22,2,2,0.5,2.34,24,0,,,0,6,34.2,29,9,9,0,16,1,31,3,0,0,149,1.298,7.5,0,4.2,8,1.94,
3,Max Ford,19,0,0,,0,1,0,,,0,0,1.1,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,13.5,,
4,Blake Hamilton,--,0,1,0,12,3,1,,,0,0,3,5,6,4,0,4,0,1,2,1,1,18,3,15,0,12,3,0.25,
5,Taylor Hicks,23,0,0,,1.52,16,1,,,0,0,29.2,23,5,5,0,9,0,23,2,2,4,116,1.079,7,0,2.7,7,2.56,
6,Connor Jones*,20,0,2,0,11.05,10,0,,,0,1,7.1,6,11,9,1,14,0,6,1,1,0,44,2.727,7.4,1.2,17.2,7.4,0.43,
7,Ryan Lawlor*,21,5,7,0.417,3.67,14,14,,,0,0,73.2,63,42,30,5,33,0,84,5,0,6,327,1.303,7.7,0.6,4,10.3,2.55,
8,Mike Mancuso,22,0,1,0,2.25,15,2,,,0,0,28,27,8,7,2,7,0,21,0,0,2,118,1.214,8.7,0.6,2.3,6.8,3,
9,Sean McLaughlin,21,4,5,0.444,4.67,15,9,,,0,0,71.1,76,41,37,4,31,2,57,9,1,1,320,1.5,9.6,0.5,3.9,7.2,1.84,
10,Drew Moody,20,0,1,0,6.52,8,0,,,0,0,9.2,13,7,7,0,3,0,9,2,0,0,43,1.655,12.1,0,2.8,8.4,3,
11,David Sosebee,21,4,3,0.571,2.98,11,8,,,0,0,54.1,47,18,18,4,21,1,55,6,1,2,230,1.252,7.8,0.7,3.5,9.1,2.62,
12,Bo Tucker*,20,1,1,0.5,2.03,19,0,,,0,1,31,19,8,7,2,16,1,28,1,0,4,129,1.129,5.5,0.6,4.6,8.1,1.75,
13,Robert Tyler,20,1,1,0.5,5.32,6,6,,,0,0,23.2,22,22,14,2,11,0,29,0,0,6,107,1.394,8.4,0.8,4.2,11,2.64,
14,Austin Wallace,21,0,0,,7.94,6,0,,,0,0,5.2,8,5,5,2,5,0,6,0,0,2,31,2.294,12.7,3.2,7.9,9.5,1.2,
15,Jared Walsh*,21,5,2,0.714,2.6,14,8,,,0,0,55.1,35,21,16,1,35,0,44,6,0,3,236,1.265,5.7,0.2,5.7,7.2,1.26,
16,Zach Waters,--,1,0,1,5.85,16,0,,,0,0,20,21,17,13,2,10,0,7,7,2,0,98,1.55,9.5,0.9,4.5,3.2,0.7,
,16 Players,21,,,,3.96,0,0,0,0,4,0,480,436,253,211,30,231,5,422,46,8,37,2124,1.39,8.2,0.6,4.3,7.9,1.83,
