Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Tim Elliott,21,7,3,0.7,2.38,15,14,,1,1,0,75.2,42,24,20,5,24,1,72,5,0,5,295,0.872,5,0.6,2.9,8.6,3,
2,Justin Glover*,20,1,0,1,2.79,25,0,,0,0,0,29,15,12,9,1,15,1,28,5,0,7,118,1.034,4.7,0.3,4.7,8.7,1.87,
3,Adam Goodman*,22,1,1,0.5,5.79,15,0,,0,0,0,14,15,12,9,2,10,0,21,3,1,2,70,1.786,9.6,1.3,6.4,13.5,2.1,
4,Jack Gowen,19,0,1,0,9.35,9,0,,0,0,0,8.2,7,10,9,2,10,1,10,4,0,3,48,1.962,7.3,2.1,10.4,10.4,1,
5,Emerson Hancock,20,8,3,0.727,1.99,14,14,,1,0,0,90.1,58,21,20,5,18,1,97,4,0,2,340,0.841,5.8,0.5,1.8,9.7,5.39,
6,Zac Kristofak,21,5,0,1,3.8,24,0,,0,0,6,47.1,45,25,20,7,15,0,63,5,0,6,203,1.268,8.6,1.3,2.9,12,4.2,
7,Tony Locey,20,11,2,0.846,2.53,16,15,,0,0,0,89,51,28,25,8,45,0,97,7,0,12,359,1.079,5.2,0.8,4.6,9.8,2.16,
8,Logan Moody,22,1,0,1,4.07,11,3,,0,0,0,24.1,15,15,11,1,14,0,33,0,0,2,104,1.192,5.5,0.4,5.2,12.2,2.36,
9,Darryn Pasqua,20,1,0,1,1.2,9,0,,0,0,0,15,13,2,2,0,4,0,11,3,1,0,60,1.133,7.8,0,2.4,6.6,2.75,
10,Will Proctor,21,3,0,1,4.35,3,2,,0,0,0,10.1,10,6,5,2,5,0,15,0,0,3,45,1.452,8.7,1.7,4.4,13.1,3,
11,Christian Ryder,21,0,0,,10.8,5,0,,0,0,0,3.1,2,4,4,0,2,0,3,3,0,3,17,1.2,5.4,0,5.4,8.1,1.5,
12,Aaron Schunk,21,1,2,0.333,2.49,17,0,,0,0,12,21.2,15,6,6,2,7,3,18,0,0,1,87,1.015,6.2,0.8,2.9,7.5,2.57,
13,C.J. Smith*,20,3,3,0.5,4.3,11,9,,0,0,0,46,38,23,22,5,20,2,38,4,1,10,193,1.261,7.4,1,3.9,7.4,1.9,
14,Ryan Webb*,20,1,0,1,3.75,16,0,,0,0,1,24,19,10,10,3,11,0,27,4,0,4,104,1.25,7.1,1.1,4.1,10.1,2.45,
15,Cole Wilcox,19,3,2,0.6,4.07,19,6,,1,0,0,59.2,46,30,27,3,38,2,64,4,0,15,261,1.408,6.9,0.5,5.7,9.7,1.68,
16,James Williams,21,0,0,,6.35,5,0,,0,0,0,5.2,10,7,4,0,4,0,4,0,0,0,30,2.471,15.9,0,6.4,6.4,1,
,16 Players,20.4,46,17,0.73,3.24,63,63,63,0,6,0,564,401,235,203,46,242,11,601,51,3,75,2334,1.14,6.4,0.7,3.9,9.6,2.48,
