Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Jonathan Childress*,22,0,0,,0,1,0,,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
2,Chris Cortez,19,6,3,0.667,4.91,25,1,,0,0,0,44,47,32,24,2,13,0,32,4,0,5,200,1.364,9.6,0.4,2.7,6.5,2.46,
3,Khristian Curtis,20,2,0,1,1.42,5,5,,0,0,0,19,17,3,3,0,8,0,15,2,0,4,82,1.316,8.1,0,3.8,7.1,1.88,
4,Micah Dallas,22,7,3,0.7,5.18,18,16,,0,0,0,81.2,100,52,47,13,22,0,86,5,0,12,369,1.494,11,1.4,2.4,9.5,3.91,
5,Nathan Dettmer,20,6,3,0.667,4.99,19,19,,0,0,0,92,98,58,51,4,25,0,82,7,1,9,408,1.337,9.6,0.4,2.4,8,3.28,
6,Trey Dillard,23,0,0,,0,1,0,,0,0,0,1,0,0,0,0,2,0,1,0,0,0,5,2,0,0,18,9,0.5,
7,Jack Hamilton,19,0,0,,3.18,5,0,,0,0,0,5.2,4,2,2,0,4,0,5,0,0,0,28,1.412,6.4,0,6.4,7.9,1.25,
8,Rawley Hector,20,1,0,1,7.98,9,0,,0,0,0,14.2,18,14,13,3,2,0,7,3,0,1,67,1.364,11,1.8,1.2,4.3,3.5,
9,Robert Hogan,20,3,1,0.75,4.91,18,0,,0,0,2,18.1,13,10,10,0,12,0,17,4,0,4,85,1.364,6.4,0,5.9,8.3,1.42,
10,Will Johnston*,21,3,1,0.75,3.25,23,2,,0,0,4,36,33,15,13,2,18,1,49,5,0,4,163,1.417,8.3,0.5,4.5,12.3,2.72,
11,Xavier Lovett,21,0,0,,12,7,0,,0,0,0,6,5,10,8,0,5,0,6,2,0,3,31,1.667,7.5,0,7.5,9,1.2,
12,Alex Magers,22,0,0,,5.59,8,0,,0,0,0,9.2,15,7,6,2,5,0,9,1,0,2,51,2.069,14,1.9,4.7,8.4,1.8,
13,Joseph Menefee*,22,6,2,0.75,5.6,28,0,,0,0,2,53,46,39,33,7,42,1,87,9,0,9,251,1.66,7.8,1.2,7.1,14.8,2.07,
14,Jake Palisch*,23,6,3,0.667,2.39,29,0,,0,0,5,60.1,53,18,16,1,12,4,73,7,0,6,255,1.077,7.9,0.1,1.8,10.9,6.08,
15,Ryan Prager*,19,1,4,0.2,5.16,18,16,,0,0,0,59.1,61,41,34,7,25,0,53,7,0,6,268,1.449,9.3,1.1,3.8,8,2.12,
16,Brad Rudis,19,3,0,1,5.22,26,2,,0,0,3,39.2,42,25,23,7,13,0,36,2,0,2,174,1.387,9.5,1.6,2.9,8.2,2.77,
17,Wyatt Tucker,20,0,0,,4.79,10,2,,0,0,0,20.2,19,12,11,3,12,0,26,1,0,5,94,1.5,8.3,1.3,5.2,11.3,2.17,
18,Walker Zander,23,0,0,,5.79,5,1,,0,0,0,4.2,11,7,3,0,0,0,4,0,0,1,27,2.357,21.2,0,0,7.7,,
,18 Players,20.6,44,20,0.688,4.67,64,64,64,0,2,16,566,582,345,294,51,220,6,588,59,1,73,2559,1.417,9.3,0.8,3.5,9.3,2.67,
