Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Charlie Barnes*,19,1,2,0.333,3.38,12,2,,,0,0,24,26,15,9,1,8,0,23,2,0,3,111,1.417,9.8,0.4,3,8.6,2.88,
2,Clay Bates?,--,0,0,,17.18,6,0,,,0,0,3.2,9,7,7,0,3,0,2,1,0,0,22,3.273,22.1,0,7.4,4.9,0.67,
3,Alex Bostic*,20,0,2,0,5.25,15,0,,,0,0,12,14,9,7,0,7,0,11,1,0,2,58,1.75,10.5,0,5.3,8.3,1.57,
4,Paul Campbell,19,0,2,0,7.4,13,1,,,0,1,20.2,27,18,17,3,9,0,24,1,1,2,100,1.742,11.8,1.3,3.9,10.5,2.67,
5,Matt Crownover*,22,10,3,0.769,1.82,16,16,,,0,0,109,72,28,22,7,37,1,108,2,0,6,435,1,5.9,0.6,3.1,8.9,2.92,
6,Zack Erwin*,21,7,4,0.636,3.04,17,16,,,0,0,106.2,108,51,36,7,16,0,92,4,2,1,454,1.163,9.1,0.6,1.4,7.8,5.75,
7,Brody Koerner,21,4,5,0.444,7.55,16,12,,,1,0,62,89,57,52,5,22,0,63,10,2,11,307,1.79,12.9,0.7,3.2,9.1,2.86,
8,Pat Krall*,20,2,4,0.333,4.03,27,0,,,0,3,38,32,22,17,0,11,0,38,1,0,0,160,1.132,7.6,0,2.6,9,3.45,
9,Jake Long,23,2,1,0.667,2.17,13,7,,,0,0,49.2,37,17,12,6,22,0,39,2,0,4,208,1.188,6.7,1.1,4,7.1,1.77,
10,Drew Moyer,19,1,0,1,1.74,10,0,,,0,2,10.1,10,2,2,1,5,0,15,1,0,0,47,1.452,8.7,0.9,4.4,13.1,3,
11,Kevin Pohle,23,0,0,,5.06,10,0,,,0,0,10.2,11,6,6,3,6,0,4,1,0,0,51,1.594,9.3,2.5,5.1,3.4,0.67,
12,Clate Schmidt,21,2,3,0.4,4.67,18,6,,,0,0,52,55,32,27,6,23,1,32,4,0,7,233,1.5,9.5,1,4,5.5,1.39,
13,Alex Schnell*,20,2,0,1,8.41,11,0,,,0,1,20.1,21,21,19,6,15,0,14,6,0,0,104,1.77,9.3,2.7,6.6,6.2,0.93,
14,Hunter Van Horn*,19,0,0,,6.14,10,0,,,0,0,7.1,7,5,5,1,6,0,7,0,0,3,34,1.773,8.6,1.2,7.4,8.6,1.17,
15,Taylor Vetzel?,--,1,3,0.25,3.97,20,1,,,0,4,22.2,18,13,10,0,10,0,25,4,3,3,102,1.235,7.1,0,4,9.9,2.5,
,15 Players,20.7,,,,4.05,0,0,0,0,3,0,549,536,303,247,46,200,2,497,40,8,42,2426,1.341,8.8,0.8,3.3,8.1,2.49,
