Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Will Craig,20,3,4,0.429,6.09,15,7,,,0,1,44.1,44,32,30,6,24,2,39,7,0,8,209,1.534,8.9,1.2,4.9,7.9,1.63,
2,Andrew Culp,21,0,0,,6,2,0,,,0,0,3,3,2,2,0,4,0,4,0,0,1,16,2.333,9,0,12,12,1,
3,Parker Dunshee,20,5,3,0.625,2.89,19,5,,,0,4,71.2,58,27,23,5,33,4,74,4,1,2,307,1.27,7.3,0.6,4.1,9.3,2.24,
4,Chris Farish,20,0,2,0,19.8,7,1,,,0,0,5,6,11,11,1,15,0,7,1,0,5,36,4.2,10.8,1.8,27,12.6,0.47,
5,Will Finley?,--,0,0,,12.46,8,0,,,0,0,8.2,17,15,12,0,10,0,7,4,0,3,58,3.115,17.7,0,10.4,7.3,0.7,
6,Aaron Fossas,22,1,0,1,4.63,5,4,,,0,1,11.2,14,7,6,2,3,0,4,1,0,1,49,1.457,10.8,1.5,2.3,3.1,1.33,
7,Parker Johnson,20,1,0,1,9.14,21,0,,,0,0,21.2,30,23,22,8,9,2,17,4,0,6,107,1.8,12.5,3.3,3.7,7.1,1.89,
8,Connor Johnstone,20,2,4,0.333,6.36,19,9,,,0,2,58,72,44,41,7,22,0,22,4,2,7,269,1.621,11.2,1.1,3.4,3.4,1,
9,Garrett Kelly,20,0,3,0,9.68,10,3,,,0,0,17.2,23,24,19,2,16,0,11,1,0,3,96,2.208,11.7,1,8.2,5.6,0.69,
10,Drew Loepprich,19,0,0,,5.56,5,3,,,0,0,11.1,14,8,7,0,7,0,12,1,0,0,54,1.853,11.1,0,5.6,9.5,1.71,
11,John McCarren,20,0,3,0,5.51,29,1,,,0,1,50.2,55,37,31,8,20,1,32,4,0,4,227,1.48,9.8,1.4,3.6,5.7,1.6,
12,Joe Napolitano,23,0,0,,7.5,7,0,,,0,0,6,9,6,5,0,3,0,4,0,0,0,30,2,13.5,0,4.5,6,1.33,
13,Matt Pirro,22,7,4,0.636,3.67,14,14,,,0,0,73.2,64,42,30,8,55,0,71,14,0,8,347,1.615,7.8,1,6.7,8.7,1.29,
14,Donnie Sellers,19,4,1,0.8,5.34,25,0,,,0,0,32,34,20,19,1,18,2,19,4,2,6,149,1.625,9.6,0.3,5.1,5.3,1.06,
15,Max Tishman*,21,1,0,1,12.27,9,0,,,0,0,3.2,4,6,5,0,9,0,3,0,1,5,25,3.545,9.8,0,22.1,7.4,0.33,
,15 Players,20.3,,,,5.73,0,0,0,0,3,0,466.2,514,342,297,54,261,13,365,54,7,66,2208,1.661,9.9,1,5,7,1.4,
