Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Carter Bach*,20,0,3,0,10.46,12,8,,0,0,0,26.2,32,32,31,3,27,0,28,9,1,5,143,2.213,10.8,1,9.1,9.5,1.04,
2,Rhyse Dee,20,0,0,,5.4,4,0,,0,0,0,3.1,6,2,2,1,3,0,5,0,0,1,19,2.7,16.2,2.7,8.1,13.5,1.67,
3,Chris Farish,23,2,0,1,5.06,9,0,,0,0,0,5.1,4,3,3,1,2,0,6,0,0,2,22,1.125,6.8,1.7,3.4,10.1,3,
4,William Fleming,19,0,0,,7.24,15,0,,0,0,0,13.2,15,12,11,1,6,1,6,2,1,2,63,1.537,9.9,0.7,4,4,1,
5,Bobby Hearn*,21,1,2,0.333,5.67,22,1,,0,0,1,27,27,22,17,1,21,0,26,5,0,2,134,1.778,9,0.3,7,8.7,1.24,
6,Cole McNamee,20,1,0,1,8.78,12,2,,0,0,0,13.1,18,15,13,2,9,0,23,5,0,5,74,2.025,12.2,1.4,6.1,15.5,2.56,
7,Morgan McSweeney,20,2,6,0.25,4.44,18,10,,0,0,0,73,68,48,36,10,39,1,66,8,1,12,332,1.466,8.4,1.2,4.8,8.1,1.69,
8,Antonio Menendez,19,0,5,0,9.99,25,1,,0,0,0,24.1,23,28,27,5,22,0,27,11,1,0,128,1.849,8.5,1.8,8.1,10,1.23,
9,Shane Muntz,19,1,1,0.5,6.19,14,0,,0,0,0,16,13,11,11,2,18,0,12,2,0,5,78,1.938,7.3,1.1,10.1,6.8,0.67,
10,Colin Peluse,20,6,2,0.75,3.87,16,14,,0,0,0,83.2,74,40,36,4,26,0,63,7,0,7,356,1.195,8,0.4,2.8,6.8,2.42,
11,Griffin Roberts,22,5,4,0.556,3.82,14,14,,0,0,0,96.2,78,41,41,6,38,1,130,11,2,4,407,1.2,7.3,0.6,3.5,12.1,3.42,
12,Jared Shuster*,19,0,3,0,7.41,22,6,,0,0,0,34,31,30,28,5,21,0,32,2,0,10,158,1.529,8.2,1.3,5.6,8.5,1.52,
13,Rayne Supple,20,5,2,0.714,2.11,27,0,,0,0,8,47,29,15,11,1,32,2,55,7,0,5,208,1.298,5.6,0.2,6.1,10.5,1.72,
14,Tyler Witt*,21,2,4,0.333,5.26,33,1,,0,0,2,51.1,64,37,30,8,19,0,45,9,0,4,246,1.617,11.2,1.4,3.3,7.9,2.37,
,14 Players,20.2,25,32,0.439,5.19,0,0,0,0,2,0,515.1,482,336,297,50,283,5,524,78,6,64,2368,1.484,8.4,0.9,4.9,9.2,1.85,
