Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Matthew Becker*,22,3,3,0.5,6.65,19,6,,0,0,0,47.1,45,37,35,6,23,1,64,6,0,3,216,1.437,8.6,1.1,4.4,12.2,2.78,
2,Ashton Crowther*,21,2,2,0.5,4.38,19,2,,0,0,1,37,36,24,18,3,10,0,28,7,1,2,159,1.243,8.8,0.7,2.4,6.8,2.8,
3,Dylan Eskew,24,0,4,0,5.06,10,9,,0,0,0,37.1,32,23,21,6,27,2,34,16,0,3,179,1.58,7.7,1.4,6.5,8.2,1.26,
4,Jarvis Evans*,22,4,2,0.667,5.89,13,9,,0,0,0,47.1,50,31,31,11,17,0,41,6,0,5,204,1.415,9.5,2.1,3.2,7.8,2.41,
5,Ryder Garino,19,2,0,1,5.84,16,1,,0,0,0,24.2,18,20,16,8,13,3,34,1,0,1,106,1.257,6.6,2.9,4.7,12.4,2.62,
6,Caleb Jones,22,0,1,0,6.23,15,0,,0,0,0,17.1,13,12,12,5,11,0,15,1,0,1,76,1.385,6.8,2.6,5.7,7.8,1.36,
7,Roman Kimball,21,0,0,,16.5,8,0,,0,0,0,6,9,11,11,3,11,0,7,2,0,4,41,3.333,13.5,4.5,16.5,10.5,0.64,
8,Parker Marlatt,21,1,0,1,4.18,25,0,,0,0,2,28,25,13,13,5,11,2,30,1,0,3,119,1.286,8,1.6,3.5,9.6,2.73,
9,Jake McCoy*,20,4,5,0.444,6.9,14,14,,0,0,0,60,62,57,46,14,40,0,77,17,0,6,291,1.7,9.3,2.1,6,11.6,1.93,
10,Aydin Palmer*,20,0,0,,11.42,12,0,,0,0,0,8.2,11,11,11,3,11,0,11,1,0,3,47,2.538,11.4,3.1,11.4,11.4,1,
11,Cooper Parks,18,0,0,,14.14,7,0,,0,0,0,7,10,11,11,3,8,0,3,0,0,2,36,2.571,12.9,3.9,10.3,3.9,0.38,
12,Tyler Pitzer,20,4,0,1,6.99,19,2,,0,0,1,28.1,31,25,22,1,28,2,32,6,0,2,146,2.082,9.8,0.3,8.9,10.2,1.14,
13,Zach Russell,19,2,1,0.667,5.4,19,0,,0,0,0,16.2,21,15,10,2,12,0,17,1,0,0,87,1.98,11.3,1.1,6.5,9.2,1.42,
14,Jackson Soucie*,21,3,1,0.75,5.4,14,5,,0,0,0,30,28,20,18,7,13,0,32,2,0,3,131,1.367,8.4,2.1,3.9,9.6,2.46,
15,Brandon Stone,20,2,7,0.222,6.5,15,8,,1,0,1,62.1,76,49,45,13,15,1,46,10,1,2,285,1.46,11,1.9,2.2,6.6,3.07,
16,Brendan Sweeney,21,1,3,0.25,8.53,23,1,,0,0,6,25.1,32,26,24,5,13,2,34,2,0,3,126,1.776,11.4,1.8,4.6,12.1,2.62,
,16 Players,20.8,28,29,0.491,6.41,57,57,56,1,4,11,483.1,499,385,344,95,263,13,505,79,2,43,2249,1.577,9.3,1.8,4.9,9.4,1.92,
