Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Harrison Beethe,23,0,0,,5.06,8,0,,0,0,0,5.1,3,6,3,0,11,0,7,1,0,3,32,2.625,5.1,0,18.6,11.8,0.64,
2,Cam Brown,19,2,0,1,1.93,3,3,,0,0,0,9.1,5,3,2,1,3,0,8,4,0,0,38,0.857,4.8,1,2.9,7.7,2.67,
3,Dalton Brown,24,0,0,,9.82,9,0,,0,0,0,7.1,10,8,8,2,3,0,14,2,0,0,39,1.773,12.3,2.5,3.7,17.2,4.67,
4,Riley Cornelio,21,1,1,0.5,4.91,5,2,,0,0,0,7.1,6,4,4,0,3,0,7,2,0,1,31,1.227,7.4,0,3.7,8.6,2.33,
5,Haylen Green*,23,1,3,0.25,3.33,25,0,,0,0,12,48.2,43,24,18,2,5,1,55,4,2,2,194,0.986,8,0.4,0.9,10.2,11,
6,Storm Hierholzer,19,0,0,,5.79,4,0,,0,0,0,4.2,3,4,3,0,6,0,5,0,0,0,24,1.929,5.8,0,11.6,9.6,0.83,
7,Drew Hill,22,3,1,0.75,3.9,16,0,,0,0,0,32.1,35,16,14,2,8,1,40,0,0,1,140,1.33,9.7,0.6,2.2,11.1,5,
8,Charles King,23,5,3,0.625,3.9,17,5,,0,0,0,60,62,31,26,2,11,0,53,7,0,1,255,1.217,9.3,0.3,1.7,8,4.82,
9,John Kodros*,22,0,0,,13.5,3,0,,0,0,0,2,5,3,3,3,1,0,3,0,0,0,12,3,22.5,13.5,4.5,13.5,3,
10,Austin Krob*,21,8,1,0.889,3.81,16,16,,0,0,0,85,80,39,36,1,37,1,96,9,2,7,368,1.376,8.5,0.1,3.9,10.2,2.59,
11,Jacob Meador,20,1,1,0.5,5.68,10,4,,0,0,0,19,18,12,12,2,11,0,24,4,0,1,90,1.526,8.5,0.9,5.2,11.4,2.18,
12,Augie Mihlbauer*,22,0,0,,5,12,0,,0,0,0,9,8,5,5,0,5,0,13,2,0,2,43,1.444,8,0,5,13,2.6,
13,Braxton Pearson,19,0,0,,9.82,4,0,,0,0,0,3.2,10,4,4,1,3,0,3,1,0,2,23,3.545,24.5,2.5,7.4,7.4,1,
14,Marcelo Perez,21,1,0,1,4.15,13,0,,0,0,0,30.1,27,15,14,3,11,0,33,3,0,2,126,1.253,8,0.9,3.3,9.8,3,
15,Johnny Ray,22,3,3,0.5,6.5,13,11,,0,0,0,44.1,47,32,32,13,28,0,45,7,0,2,205,1.692,9.5,2.6,5.7,9.1,1.61,
16,River Ridings*,19,3,2,0.6,1.08,23,1,,0,0,1,33.1,22,8,4,1,14,0,39,5,0,0,140,1.08,5.9,0.3,3.8,10.5,2.79,
17,Luke Savage,19,3,0,1,3.32,7,3,,0,0,0,19,18,11,7,0,4,0,20,2,1,1,81,1.158,8.5,0,1.9,9.5,5,
18,Russell Smith*,22,7,3,0.7,3.83,15,15,,0,0,0,82.1,73,38,35,11,20,0,101,5,1,3,345,1.13,8,1.2,2.2,11,5.05,
19,Jacob Speaker,20,0,0,,11.57,4,0,,0,0,0,2.1,2,3,3,2,2,0,5,0,0,2,12,1.714,7.7,7.7,7.7,19.3,2.5,
20,Garrett Wright,19,3,1,0.75,3.63,19,0,,0,0,1,22.1,20,14,9,3,16,0,35,1,0,1,103,1.612,8.1,1.2,6.4,14.1,2.19,
,20 Players,21.3,41,19,0.683,4.13,60,60,60,0,2,14,527.2,497,280,242,49,202,3,606,59,6,31,2301,1.325,8.5,0.8,3.4,10.3,3,
