Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Dillon Day?,--,0,1,0,3.6,1,1,,,0,0,5,6,3,2,0,1,0,3,0,0,2,21,1.4,10.8,0,1.8,5.4,3,
2,Jake Drehoff*,20,6,2,0.75,3.51,15,15,,,0,0,95,85,38,37,2,35,1,57,7,1,6,401,1.263,8.1,0.2,3.3,5.4,1.63,
3,Cameron Giannini,20,3,3,0.5,3.67,16,0,,,0,1,27,24,13,11,2,11,1,12,3,1,2,114,1.296,8,0.7,3.7,4,1.09,
4,Chase Horn?,--,1,3,0.25,3.57,17,2,,,0,1,22.2,37,15,9,0,11,1,21,0,0,6,116,2.118,14.7,0,4.4,8.3,1.91,
5,Paxton King?,--,1,1,0.5,8.8,9,0,,,0,0,15.1,25,19,15,1,7,0,12,3,0,0,82,2.087,14.7,0.6,4.1,7,1.71,
6,Cody Livingston*,19,3,1,0.75,4.25,20,1,,,0,0,29.2,28,18,14,2,12,0,22,9,1,3,139,1.348,8.5,0.6,3.6,6.7,1.83,
7,James McMahon,20,2,1,0.667,5.11,17,0,,,0,3,37,31,27,21,0,23,1,23,7,0,6,172,1.459,7.5,0,5.6,5.6,1,
8,Jay Myrick?,--,2,1,0.667,5.94,11,3,,,0,0,33.1,29,24,22,5,27,0,26,2,1,2,153,1.68,7.8,1.4,7.3,7,0.96,
9,Taylor Nunez,19,1,3,0.25,4.74,8,5,,,0,0,24.2,18,15,13,0,12,0,16,10,1,3,110,1.216,6.6,0,4.4,5.8,1.33,
10,Andrew Pierce,21,7,4,0.636,1.99,15,14,,,1,0,99.1,88,23,22,2,16,1,96,9,0,3,401,1.047,8,0.2,1.4,8.7,6,
11,Mason Robbins*,19,1,0,1,4.01,10,6,,,0,0,33.2,38,17,15,4,12,0,17,0,1,0,149,1.485,10.2,1.1,3.2,4.5,1.42,
12,Josh Rogers?,--,0,1,0,20.25,5,0,,,0,0,1.1,2,3,3,1,5,0,1,3,0,0,15,5.25,13.5,6.8,33.8,6.8,0.2,
13,Bradley Roney,19,2,1,0.667,2.42,20,0,,,0,11,26,18,7,7,0,14,0,26,1,0,3,110,1.231,6.2,0,4.8,9,1.86,
14,Boomer Scarborough?,--,2,2,0.5,3.35,10,9,,,0,0,40.1,29,17,15,1,30,0,30,10,1,9,187,1.463,6.5,0.2,6.7,6.7,1,
15,Matt Warren?,--,1,0,1,7.94,8,0,,,0,0,5.2,5,5,5,0,4,0,3,4,0,2,28,1.588,7.9,0,6.4,4.8,0.75,
,15 Players,19.7,,,,3.83,0,0,0,0,6,0,496,463,244,211,20,220,5,365,68,7,47,2198,1.377,8.4,0.4,4,6.6,1.66,
