Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Luis Alvarado,20,0,0,,1.72,16,0,,0,0,10,15.2,10,3,3,0,7,0,15,2,0,2,65,1.085,5.7,0,4,8.6,2.14,
2,Derek Burkamper,22,6,6,0.5,3.53,15,15,,0,0,0,71.1,79,32,28,4,29,0,49,4,0,3,320,1.514,10,0.5,3.7,6.2,1.69,
3,Connor Curry*,19,0,0,,4.91,4,1,,0,0,0,7.1,4,5,4,0,5,0,6,2,0,0,33,1.227,4.9,0,6.1,7.4,1.2,
4,Reece Eddins,21,1,1,0.5,5.91,7,0,,0,0,0,10.2,10,7,7,0,5,1,8,0,0,3,46,1.406,8.4,0,4.2,6.8,1.6,
5,Nate Fisher*,21,1,1,0.5,5.53,15,0,,0,0,0,27.2,36,19,17,2,9,0,23,3,1,5,128,1.627,11.7,0.7,2.9,7.5,2.56,
6,Ethan Frazier?,--,2,0,1,1.72,7,4,,0,0,0,15.2,14,4,3,1,7,0,11,0,0,1,67,1.34,8,0.6,4,6.3,1.57,
7,Jake Hohensee,23,7,3,0.7,4.39,14,14,,0,0,0,80,74,48,39,7,28,0,57,4,0,4,344,1.275,8.3,0.8,3.2,6.4,2.04,
8,Byron Hood,22,0,0,,1.5,5,0,,0,0,0,6,5,1,1,0,5,0,5,0,0,1,28,1.667,7.5,0,7.5,7.5,1,
9,Chad Luensmann,20,3,4,0.429,3.74,27,0,,0,0,8,43.1,39,23,18,0,21,1,33,5,2,1,191,1.385,8.1,0,4.4,6.9,1.57,
10,Jake McSteen*,21,4,0,1,2.04,22,0,,0,0,0,39.2,39,10,9,0,10,0,28,0,0,2,161,1.235,8.8,0,2.3,6.4,2.8,
11,Jake Meyers*,21,8,2,0.8,3.42,14,14,,1,1,0,84.1,86,35,32,9,9,0,57,7,1,2,348,1.126,9.2,1,1,6.1,6.33,
12,Ben Miller*,22,1,0,1,1.13,3,3,,0,0,0,8,4,1,1,0,7,0,7,0,0,1,34,1.375,4.5,0,7.9,7.9,1,
13,Robbie Palkert,20,0,0,,2.61,24,0,,0,0,2,41.1,35,13,12,1,12,0,39,6,0,2,169,1.137,7.6,0.2,2.6,8.5,3.25,
14,Mitch Steinhoff?,--,0,0,,18,2,0,,0,0,0,3,8,6,6,0,1,0,1,0,0,0,18,3,24,0,3,3,1,
15,Paul Tillotson,--,0,0,,13.5,2,1,,0,0,0,5.1,12,8,8,1,1,0,4,1,0,0,30,2.438,20.3,1.7,1.7,6.8,4,
16,Matt Waldron,20,2,5,0.286,4.09,16,6,,0,0,0,55,68,32,25,3,9,0,43,4,0,3,239,1.4,11.1,0.5,1.5,7,4.78,
,16 Players,20.9,,,,3.73,0,0,0,0,3,0,514.1,523,247,213,28,165,2,386,38,4,30,2221,1.338,9.2,0.5,2.9,6.8,2.34,
