Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Chase Allen,19,0,0,,inf,1,0,,0,0,0,0,1,3,3,0,1,0,0,1,0,0,3,,,,,,0,
2,Blake Beers,22,1,1,0.5,8.42,13,5,,0,0,0,25.2,30,27,24,2,20,0,21,2,0,7,127,1.948,10.5,0.7,7,7.4,1.05,
3,Keaton Carattini,21,0,0,,6,2,0,,0,0,0,3,3,2,2,0,0,0,3,2,0,0,14,1,9,0,0,9,,
4,Walker Cleveland*,21,0,0,,20.25,1,0,,0,0,0,1.1,4,3,3,0,1,0,2,0,0,2,9,3.75,27,0,6.8,13.5,2,
5,Jacob Denner*,20,4,4,0.5,4.35,13,9,,0,0,0,51.2,57,30,25,7,17,0,51,5,0,3,233,1.432,9.9,1.2,3,8.9,3,
6,Ben Dragani*,22,3,3,0.5,4.55,11,3,,0,0,1,29.2,24,20,15,4,19,0,18,1,1,5,129,1.449,7.3,1.2,5.8,5.5,0.95,
7,Steve Hajjar*,20,4,2,0.667,3.09,14,14,,1,0,0,81.2,66,36,28,8,29,0,110,3,1,5,342,1.163,7.3,0.9,3.2,12.1,3.79,
8,Connor O'Halloran*,18,0,0,,12.15,6,0,,0,0,0,6.2,9,9,9,1,6,0,8,1,1,2,35,2.25,12.2,1.4,8.1,10.8,1.33,
9,Joe Pace,24,3,1,0.75,4.63,18,0,,0,0,0,23.1,20,15,12,3,14,1,31,3,1,2,109,1.457,7.7,1.2,5.4,12,2.21,
10,Isaiah Paige,22,0,1,0,2.65,14,0,,0,0,0,17,17,6,5,2,3,0,19,2,0,0,73,1.176,9,1.1,1.6,10.1,6.33,
11,Will Proctor,23,0,1,0,5.14,16,0,,0,0,1,14,20,10,8,0,4,0,11,3,0,0,66,1.714,12.9,0,2.6,7.1,2.75,
12,Angelo Smith*,22,1,0,1,3,6,0,,0,0,0,6,3,3,2,1,5,0,4,1,0,1,24,1.333,4.5,1.5,7.5,6,0.8,
13,Willie Weiss,21,4,2,0.667,2.63,21,1,,0,0,5,27.1,17,9,8,2,13,2,40,5,0,3,113,1.098,5.6,0.7,4.3,13.2,3.08,
14,Cameron Weston,20,7,4,0.636,2.81,14,14,,1,0,0,83.1,68,32,26,4,29,0,69,8,0,9,341,1.164,7.3,0.4,3.1,7.5,2.38,
15,Jack White*,21,0,0,,4.5,9,0,,0,0,0,16,14,9,8,0,12,0,23,0,0,1,77,1.625,7.9,0,6.8,12.9,1.92,
16,Logan Wood*,18,0,0,,2.38,9,0,,0,0,0,11.1,9,3,3,1,11,0,14,1,1,0,52,1.765,7.1,0.8,8.7,11.1,1.27,
,16 Players,21.1,27,19,0.587,4.09,46,46,44,2,5,7,398,362,217,181,35,184,3,424,38,5,40,1747,1.372,8.2,0.8,4.2,9.6,2.3,
