Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Evan Anderson*,20,1,2,0.333,6.02,15,7,,,0,0,40.1,57,34,27,2,19,0,31,3,1,8,199,1.884,12.7,0.4,4.2,6.9,1.63,
2,Scott Ashford*,23,0,0,,2.7,5,0,,,0,0,3.1,4,3,1,1,2,0,4,1,0,0,18,1.8,10.8,2.7,5.4,10.8,2,
3,Mitchel Babb,22,2,0,1,6.04,14,2,,,0,0,22.1,24,17,15,2,16,0,17,0,0,2,106,1.791,9.7,0.8,6.4,6.9,1.06,
4,Brady Bramlett,21,7,4,0.636,3.74,15,15,,,0,0,84.1,79,43,35,10,21,1,83,5,2,3,356,1.186,8.4,1.1,2.2,8.9,3.95,
5,Matt Denny*,21,1,0,1,10.8,9,0,,,0,0,8.1,15,15,10,0,6,0,8,1,0,0,50,2.52,16.2,0,6.5,8.6,1.33,
6,Sean Johnson,20,0,0,,0,1,0,,,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,9,0,0,0,,
7,John Ray,--,0,0,,2.08,5,0,,,0,0,4.1,4,4,1,0,5,0,0,0,0,0,23,2.077,8.3,0,10.4,0,0,
8,Wyatt Short*,20,4,1,0.8,1.38,23,0,,,0,10,39,28,6,6,1,12,0,44,4,0,1,158,1.026,6.5,0.2,2.8,10.2,3.67,
9,Sam Smith?,--,2,5,0.286,6.41,14,9,,,0,0,46.1,48,36,33,4,13,0,22,6,0,6,205,1.317,9.3,0.8,2.5,4.3,1.69,
10,Will Stokes,19,2,5,0.286,6.59,18,6,,,0,3,42.1,47,33,31,3,11,0,21,5,0,2,184,1.37,10,0.6,2.3,4.5,1.91,
11,Christian Trent*,22,7,7,0.5,3.74,15,15,,,0,0,98.2,108,47,41,9,22,2,72,8,0,13,422,1.318,9.9,0.8,2,6.6,3.27,
12,Jacob Waguespack,21,0,0,,3.33,25,0,,,0,1,46,55,27,17,2,16,0,34,3,1,1,210,1.543,10.8,0.4,3.1,6.7,2.13,
13,Scott Weathersby,23,4,2,0.667,2.62,17,4,,,0,3,55,45,17,16,4,14,2,51,0,0,2,223,1.073,7.4,0.7,2.3,8.3,3.64,
,13 Players,21,,,,4.38,0,0,0,0,1,0,509.2,534,301,248,41,163,5,402,37,4,41,2240,1.368,9.4,0.7,2.9,7.1,2.47,
