Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Andy Belcik,21,2,3,0.4,3.21,27,2,,0,0,1,33.2,29,16,12,1,23,0,37,11,2,5,164,1.545,7.8,0.3,6.1,9.9,1.61,
2,Joe Boyle,19,3,3,0.5,5.96,18,0,,0,0,2,25.2,14,22,17,0,27,0,39,0,0,6,120,1.597,4.9,0,9.5,13.7,1.44,
3,Cameron Brown?,--,4,6,0.4,5.65,15,14,,1,0,0,78,92,59,49,6,34,1,89,5,0,3,366,1.615,10.6,0.7,3.9,10.3,2.62,
4,Shane Combs,22,1,0,1,4.41,15,0,,0,0,0,16.1,11,14,8,0,20,0,19,0,0,4,81,1.898,6.1,0,11,10.5,0.95,
5,Zachary Dreznin?,--,0,0,,4.5,1,0,,0,0,0,2,2,1,1,0,1,0,0,1,0,0,9,1.5,9,0,4.5,0,0,
6,Henry Gladson,19,0,0,,54,1,0,,0,0,0,0.1,1,2,2,0,1,0,0,1,0,1,4,6,27,0,27,0,0,
7,Anthony Holubecki,21,0,0,,7.23,20,0,,0,0,0,23.2,22,22,19,4,12,0,11,2,0,0,109,1.437,8.4,1.5,4.6,4.2,0.92,
8,Cameron Junker,21,3,5,0.375,4.19,15,15,,0,0,0,77.1,67,40,36,3,40,0,73,5,0,15,337,1.384,7.8,0.3,4.7,8.5,1.83,
9,Cole Kmet?,--,0,2,0,2.89,8,1,,0,0,2,18.2,15,7,6,0,3,0,27,0,0,1,72,0.964,7.2,0,1.4,13,9,
10,Zack Martin,21,1,2,0.333,7.11,15,3,,0,0,0,25.1,28,24,20,1,14,0,26,3,0,1,126,1.658,9.9,0.4,5,9.2,1.86,
11,Mitch Megias?,--,1,0,1,5.87,7,1,,0,0,1,7.2,10,5,5,0,2,0,3,0,0,2,37,1.565,11.7,0,2.3,3.5,1.5,
12,Brian Morrell,20,0,0,,4.5,2,0,,0,0,0,2,2,1,1,0,1,0,1,1,0,0,9,1.5,9,0,4.5,4.5,1,
13,Alex Rao,19,0,0,,9.45,5,0,,0,0,0,6.2,12,8,7,0,4,0,4,1,0,1,36,2.4,16.2,0,5.4,5.4,1,
14,Jack Sheehan,21,0,0,,11.05,7,0,,0,0,0,7.1,19,15,9,2,1,0,4,1,0,2,45,2.727,23.3,2.5,1.2,4.9,4,
15,Tommy Sheehan*,20,5,6,0.455,4.58,15,15,,2,0,0,92.1,100,62,47,13,23,0,62,8,1,7,404,1.332,9.7,1.3,2.2,6,2.7,
16,Evan Tenuta,19,1,0,1,0.82,10,0,,0,0,0,11,7,2,1,0,7,0,11,1,0,4,47,1.273,5.7,0,5.7,9,1.57,
17,Aidan Tyrell*,18,0,1,0,15,9,1,,0,0,0,6,6,12,10,1,12,0,5,1,0,1,38,3,9,1.5,18,7.5,0.42,
18,Tommy Vail*,20,3,2,0.6,3.27,25,2,,0,0,6,44,24,19,16,4,26,2,61,2,0,7,183,1.136,4.9,0.8,5.3,12.5,2.35,
,18 Players,20.3,24,30,0.444,5.01,54,54,54,0,3,0,478,461,331,266,35,251,3,472,43,3,60,2187,1.49,8.7,0.7,4.7,8.9,1.88,
