Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,George Arias,22,2,1,0.667,4.4,25,0,,0,0,0,28.2,37,20,14,4,10,0,26,3,0,2,134,1.64,11.6,1.3,3.1,8.2,2.6,
2,Chris Barraza,22,2,0,1,5.18,24,0,,0,0,0,24.1,18,14,14,3,18,0,23,0,0,3,106,1.479,6.7,1.1,6.7,8.5,1.28,
3,Drew Calloway*,21,0,0,,21.6,2,0,,0,0,0,1.2,4,4,4,1,1,0,0,0,0,1,10,3,21.6,5.4,5.4,0,0,
4,Holden Christian*,23,2,2,0.5,4.94,25,2,,0,0,5,27.1,23,18,15,1,22,2,32,9,0,12,132,1.646,7.6,0.3,7.2,10.5,1.45,
5,Quinn Flanagan,23,5,1,0.833,1.63,34,1,,0,0,2,49.2,45,16,9,2,13,1,49,5,0,5,211,1.168,8.2,0.4,2.4,8.9,3.77,
6,Jon Guardado,23,0,0,,3.07,14,0,,0,0,0,14.2,12,6,5,0,7,1,16,1,0,2,65,1.295,7.4,0,4.3,9.8,2.29,
7,Garrett Irvin*,23,5,4,0.556,3.38,16,16,,0,0,0,96,85,44,36,9,29,0,71,4,0,8,401,1.188,8,0.8,2.7,6.7,2.45,
8,Trevor Long,21,6,3,0.667,3.68,31,0,,0,0,7,36.2,36,18,15,3,15,3,27,5,0,9,163,1.391,8.8,0.7,3.7,6.6,1.8,
9,Chandler Murphy,21,1,2,0.333,9.73,13,9,,0,0,0,28.2,49,33,31,3,15,1,15,2,1,8,152,2.233,15.4,0.9,4.7,4.7,1,
10,Dawson Netz,21,2,1,0.667,4.26,10,9,,0,0,0,38,38,22,18,5,11,1,28,7,0,0,169,1.289,9,1.2,2.6,6.6,2.55,
11,TJ Nichols,20,6,4,0.6,5.5,16,16,,0,0,0,88.1,98,60,54,7,38,1,84,13,1,13,398,1.54,10,0.7,3.9,8.6,2.21,
12,Eric Orloff*,19,2,3,0.4,6.13,23,2,,0,0,0,39.2,41,35,27,4,18,1,39,7,0,4,182,1.487,9.3,0.9,4.1,8.8,2.17,
13,Javyn Pimental*,20,1,1,0.5,3.9,22,0,,0,0,0,30,28,16,13,2,16,0,22,4,0,3,139,1.467,8.4,0.6,4.8,6.6,1.38,
14,Josh Randall,19,1,0,1,8.64,14,0,,0,0,0,16.2,15,16,16,2,15,0,15,0,0,3,80,1.8,8.1,1.1,8.1,8.1,1,
15,Reed Schaefer*,19,0,0,,9,1,0,,0,0,0,1,1,2,1,0,1,0,1,1,0,1,7,2,9,0,9,9,1,
16,Tommy Splaine,19,0,0,,13.5,1,0,,0,0,0,1.1,4,2,2,1,0,0,2,0,0,0,8,3,27,6.8,0,13.5,,
17,Anthony Susac,19,4,3,0.571,8.81,16,9,,0,0,0,47,66,48,46,7,19,0,32,5,0,6,229,1.809,12.6,1.3,3.6,6.1,1.68,
,17 Players,21.3,39,25,0.609,5.04,64,64,64,0,1,14,569.2,600,374,319,54,248,11,482,66,2,80,2586,1.489,9.5,0.9,3.9,7.6,1.94,
